Clinic Name,Clinic Street Address,City,State,Postcode,Phone Number,Fax Number,Website address,Staff Names
Port Kennedy Central Dental Care,Port Kennedy Central Shops,Kennedy,WA,6172,865007345,Not Available,http://portkennedycentraldentalcare.com.au,"['Dr Sonu (Sonia) Yadav', 'Dr Pal Singh', 'Dr Jeremy Foster', 'Dr Peter Brand']"
Glencoe Dental Studios,78A Glencoe Parade,Head,WA,6210,895558900,Not Available,http://www.glencoedental.com.au/,"['Dr Jeremy Foster', 'Dr Debbie Quail']"
Eaton Family Dental Practice,9 Albatross Crescent,Eaton,WA,6232,897251688,Not Available,http://www.fadc.com.au/,"['Dr Brandon Soh', 'Dr Charles Sun', 'Dr Ching Wen Tan', 'Dr Alan Lim', 'Dr Zach Lawrence']"
W Dental Baldivis,Suite 1 / 9 Atwick Terrace,Baldivis,WA,6171,08 9523 0552,08 9591 8120,https://www.wdentalbaldivis.com.au,['Dr Julene Wong']
Beyond Smiles Dental - Yanchep,u3 / 105 Lindsay Beach Blvd,Yanchep,WA,6035,895616451,895615628,http://www.beyondsmilesdental.com.au,"['Dr Karthik Dorairaj', 'Dr Sarmah Nayeem', 'Dr Grishma Patel']"
Kinross Drive Dental,Unit 4a / 59 Kinross Drive,Kinross,WA,6028,862016555,Not Available,http://www.kddental.com.au/,"['Dr Silvia Sutikno', 'Dr Tina Nguyen', 'Dr Jessica Filipiak']"
First Impressions Dental - Padbury (previously Glengarry Dental),1/6 Blackwattle Parade,Padbury,WA,6025,894480804,Not Available,http://www.firstimpressionsdental.com.au/index.html,"['Dr Silas Prashant', 'Dr Elissa Boon', 'Dr Vrej Boyadjian', 'Dr Ezra Oon', 'Dr Grace Gilbert', 'Dr Saroj Kamble']"
Jupiter Dental Clinic Lakelands,not available,not available,not available,not available,not available,not available,http://www.jupiterdentalclinic.com.au,"['Dr Paul Chung', 'Dr Nikita Nepali', 'Dr Elton Wong']"
Butler Village Family Dental,Unit 3 / 2 Marchwood Boulevard,Butler,WA,6036,861884508,Not Available,http://www.butlervillagedental.com.au/,"['Dr Clemontine Williams', 'Dr Kanagashegri Naicker', 'Dr Richard McDonald']"
Bicton Dental Clinic,40 Foss Street,Bicton,WA,6157,08 9339 8008,08 9339 5732,http://www.bictondental.com.au/,['Dr Ari Khadembashi']
Port Kennedy Central Dental Care,Port Kennedy Central Shops,Kennedy,WA,6172,865007345,Not Available,http://portkennedycentraldentalcare.com.au,"['Dr Sonu (Sonia) Yadav', 'Dr Pal Singh', 'Dr Jeremy Foster', 'Dr Peter Brand']"
Glencoe Dental Studios,78A Glencoe Parade,Head,WA,6210,895558900,Not Available,http://www.glencoedental.com.au/,"['Dr Jeremy Foster', 'Dr Debbie Quail']"
Eaton Family Dental Practice,9 Albatross Crescent,Eaton,WA,6232,897251688,Not Available,http://www.fadc.com.au/,"['Dr Brandon Soh', 'Dr Charles Sun', 'Dr Ching Wen Tan', 'Dr Alan Lim', 'Dr Zach Lawrence']"
W Dental Baldivis,Suite 1 / 9 Atwick Terrace,Baldivis,WA,6171,08 9523 0552,08 9591 8120,https://www.wdentalbaldivis.com.au,['Dr Julene Wong']
Beyond Smiles Dental - Yanchep,u3 / 105 Lindsay Beach Blvd,Yanchep,WA,6035,895616451,895615628,http://www.beyondsmilesdental.com.au,"['Dr Karthik Dorairaj', 'Dr Sarmah Nayeem', 'Dr Grishma Patel']"
Kinross Drive Dental,Unit 4a / 59 Kinross Drive,Kinross,WA,6028,862016555,Not Available,http://www.kddental.com.au/,"['Dr Silvia Sutikno', 'Dr Tina Nguyen', 'Dr Jessica Filipiak']"
First Impressions Dental - Padbury (previously Glengarry Dental),1/6 Blackwattle Parade,Padbury,WA,6025,894480804,Not Available,http://www.firstimpressionsdental.com.au/index.html,"['Dr Silas Prashant', 'Dr Elissa Boon', 'Dr Vrej Boyadjian', 'Dr Ezra Oon', 'Dr Grace Gilbert', 'Dr Saroj Kamble']"
Jupiter Dental Clinic Lakelands,not available,not available,not available,not available,not available,not available,http://www.jupiterdentalclinic.com.au,"['Dr Paul Chung', 'Dr Nikita Nepali', 'Dr Elton Wong']"
Butler Village Family Dental,Unit 3 / 2 Marchwood Boulevard,Butler,WA,6036,861884508,Not Available,http://www.butlervillagedental.com.au/,"['Dr Clemontine Williams', 'Dr Kanagashegri Naicker', 'Dr Richard McDonald']"
Bicton Dental Clinic,40 Foss Street,Bicton,WA,6157,08 9339 8008,08 9339 5732,http://www.bictondental.com.au/,['Dr Ari Khadembashi']
Port Kennedy Central Dental Care,Port Kennedy Central Shops,Kennedy,WA,6172,865007345,Not Available,http://portkennedycentraldentalcare.com.au,"['Dr Sonu (Sonia) Yadav', 'Dr Pal Singh', 'Dr Jeremy Foster', 'Dr Peter Brand']"
Glencoe Dental Studios,78A Glencoe Parade,Head,WA,6210,895558900,Not Available,http://www.glencoedental.com.au/,"['Dr Jeremy Foster', 'Dr Debbie Quail']"
Eaton Family Dental Practice,9 Albatross Crescent,Eaton,WA,6232,897251688,Not Available,http://www.fadc.com.au/,"['Dr Brandon Soh', 'Dr Charles Sun', 'Dr Ching Wen Tan', 'Dr Alan Lim', 'Dr Zach Lawrence']"
W Dental Baldivis,Suite 1 / 9 Atwick Terrace,Baldivis,WA,6171,08 9523 0552,08 9591 8120,https://www.wdentalbaldivis.com.au,['Dr Julene Wong']
Beyond Smiles Dental - Yanchep,u3 / 105 Lindsay Beach Blvd,Yanchep,WA,6035,895616451,895615628,http://www.beyondsmilesdental.com.au,"['Dr Karthik Dorairaj', 'Dr Sarmah Nayeem', 'Dr Grishma Patel']"
Dental O So Gentle @ Beldon,Beldon Medical Centre,Beldon,WA,6027,893077122,Not Available,http://www.dentalosogentle.com.au,"['Dr Rohan Jagota', 'Dr Nadia Roe', 'Dr Ileana Kalamaras']"
Yanchep Central Dental,Yanchep Central Shopping Centre,Yanchep,WA,6035,895611977,Not Available,http://www.yanchepcentraldental.com.au,"['Dr Chris Qui Huynh', 'Dr Thilini Wijewardane']"
Melville Family Dental,340 Marmion Street,Melville,WA,6156,893308655,Not Available,https://www.melvillefamilyhealthcentre.com.au,"['Dr Mostafa Hussain', 'Dr Aus Hmud', 'Dr Yousr Kanbour']"
Jindalee Family Dental,Jindalee Central,Jindalee,WA,6036,895620327,Not Available,https://www.jindaleefamilydental.com.au/,"['Dr Helmut ""Mick"" Goette']"
All In One Dental,All In One Dental,Spearwood,WA,6163,894941223,Not Available,http://www.allinonedental.com.au,"['Dr Hareesh Thippeswamy', 'Dr Swathi Dasari', 'Dr Jeetash Kumar']"
DB Dental Currambine,Unit 2 / 1 Hobsons Gate,Currambine,WA,6028,1300483384,1300483384,http://www.dbdental.com.au,"['Dr Ryan Butler', 'Dr Gurpreet Virdee', 'Dr Darren Cai', 'Dr Esther McCorry', 'Dr Kent Boon', 'Dr Adam Fell']"
DB Dental Cottesloe,Cottesloe Medical Centre,Cottesloe,WA,6011,1300483384,1300483384,http://www.dbdental.com.au/dentist-cottesloe,"['Dr Suhail Wardak', 'Dr James Cope', 'Dr Adam Fell', 'Dr Sanjna Shah', 'Dr Daniel Bontempo', ""Dr Brian O'donovan""]"
DB Dental Brighton,Unit 5 / 2359 Marmion Avenue,Jindalee,WA,6036,1300483384,1300483384,http://www.dbdental.com.au,"['Dr Shane Barton', 'Dr Seanne Brookes', 'Dr Ushna Amin', 'Dr Meghesh Shelat', 'Dr Kent Boon', 'Dr Femi Moradi']"
Currambine Dental,Currambine District Centre,Currambine,WA,6028,893040300,893040611,http://www.currambinedentist.com.au,"['Dr Peter Malan', 'Dr Farnaz Dehghan', 'Dr Rene Kruger', 'Dr Rachit Shah']"
North Beach Dental Surgery,2 / 118 Flora Terrace,Beach,WA,6020,894471514,894471075,http://www.northbeachdental.com.au/,"['Dr Shoko Tsuchiya', 'Dr Antonia De Lima']"
Dental O So Gentle @ Beldon,Beldon Medical Centre,Beldon,WA,6027,893077122,Not Available,http://www.dentalosogentle.com.au,"['Dr Rohan Jagota', 'Dr Nadia Roe', 'Dr Ileana Kalamaras']"
Yanchep Central Dental,Yanchep Central Shopping Centre,Yanchep,WA,6035,895611977,Not Available,http://www.yanchepcentraldental.com.au,"['Dr Chris Qui Huynh', 'Dr Thilini Wijewardane']"
Melville Family Dental,340 Marmion Street,Melville,WA,6156,893308655,Not Available,https://www.melvillefamilyhealthcentre.com.au,"['Dr Mostafa Hussain', 'Dr Aus Hmud', 'Dr Yousr Kanbour']"
Jindalee Family Dental,Jindalee Central,Jindalee,WA,6036,895620327,Not Available,https://www.jindaleefamilydental.com.au/,"['Dr Helmut ""Mick"" Goette']"
All In One Dental,All In One Dental,Spearwood,WA,6163,894941223,Not Available,http://www.allinonedental.com.au,"['Dr Hareesh Thippeswamy', 'Dr Swathi Dasari', 'Dr Jeetash Kumar']"
DB Dental Currambine,Unit 2 / 1 Hobsons Gate,Currambine,WA,6028,1300483384,1300483384,http://www.dbdental.com.au,"['Dr Ryan Butler', 'Dr Gurpreet Virdee', 'Dr Darren Cai', 'Dr Esther McCorry', 'Dr Kent Boon', 'Dr Adam Fell']"
DB Dental Cottesloe,Cottesloe Medical Centre,Cottesloe,WA,6011,1300483384,1300483384,http://www.dbdental.com.au/dentist-cottesloe,"['Dr Suhail Wardak', 'Dr James Cope', 'Dr Adam Fell', 'Dr Sanjna Shah', 'Dr Daniel Bontempo', ""Dr Brian O'donovan""]"
DB Dental Brighton,Unit 5 / 2359 Marmion Avenue,Jindalee,WA,6036,1300483384,1300483384,http://www.dbdental.com.au,"['Dr Shane Barton', 'Dr Seanne Brookes', 'Dr Ushna Amin', 'Dr Meghesh Shelat', 'Dr Kent Boon', 'Dr Femi Moradi']"
Currambine Dental,Currambine District Centre,Currambine,WA,6028,893040300,893040611,http://www.currambinedentist.com.au,"['Dr Peter Malan', 'Dr Farnaz Dehghan', 'Dr Rene Kruger', 'Dr Rachit Shah']"
North Beach Dental Surgery,2 / 118 Flora Terrace,Beach,WA,6020,894471514,894471075,http://www.northbeachdental.com.au/,"['Dr Shoko Tsuchiya', 'Dr Antonia De Lima']"
Dental O So Gentle @ Beldon,Beldon Medical Centre,Beldon,WA,6027,893077122,Not Available,http://www.dentalosogentle.com.au,"['Dr Rohan Jagota', 'Dr Nadia Roe', 'Dr Ileana Kalamaras']"
Yanchep Central Dental,Yanchep Central Shopping Centre,Yanchep,WA,6035,895611977,Not Available,http://www.yanchepcentraldental.com.au,"['Dr Chris Qui Huynh', 'Dr Thilini Wijewardane']"
Melville Family Dental,340 Marmion Street,Melville,WA,6156,893308655,Not Available,https://www.melvillefamilyhealthcentre.com.au,"['Dr Mostafa Hussain', 'Dr Aus Hmud', 'Dr Yousr Kanbour']"
Jindalee Family Dental,Jindalee Central,Jindalee,WA,6036,895620327,Not Available,https://www.jindaleefamilydental.com.au/,"['Dr Helmut ""Mick"" Goette']"
All In One Dental,All In One Dental,Spearwood,WA,6163,894941223,Not Available,http://www.allinonedental.com.au,"['Dr Hareesh Thippeswamy', 'Dr Swathi Dasari', 'Dr Jeetash Kumar']"
DB Dental Currambine,Unit 2 / 1 Hobsons Gate,Currambine,WA,6028,1300483384,1300483384,http://www.dbdental.com.au,"['Dr Ryan Butler', 'Dr Gurpreet Virdee', 'Dr Darren Cai', 'Dr Esther McCorry', 'Dr Kent Boon', 'Dr Adam Fell']"
DB Dental Cottesloe,Cottesloe Medical Centre,Cottesloe,WA,6011,1300483384,1300483384,http://www.dbdental.com.au/dentist-cottesloe,"['Dr Suhail Wardak', 'Dr James Cope', 'Dr Adam Fell', 'Dr Sanjna Shah', 'Dr Daniel Bontempo', ""Dr Brian O'donovan""]"
DB Dental Brighton,Unit 5 / 2359 Marmion Avenue,Jindalee,WA,6036,1300483384,1300483384,http://www.dbdental.com.au,"['Dr Shane Barton', 'Dr Seanne Brookes', 'Dr Ushna Amin', 'Dr Meghesh Shelat', 'Dr Kent Boon', 'Dr Femi Moradi']"
Currambine Dental,Currambine District Centre,Currambine,WA,6028,893040300,893040611,http://www.currambinedentist.com.au,"['Dr Peter Malan', 'Dr Farnaz Dehghan', 'Dr Rene Kruger', 'Dr Rachit Shah']"
North Beach Dental Surgery,2 / 118 Flora Terrace,Beach,WA,6020,894471514,894471075,http://www.northbeachdental.com.au/,"['Dr Shoko Tsuchiya', 'Dr Antonia De Lima']"
Arca Dental,1 / 94 Delamere Ave,Currambine,WA,6028,893054254,Not Available,http://arcadental.com.au,"['Dr Kushal Kothari', 'Dr Anne Bolton']"
Sunlander Dental Centre,Sunlander Medical and Dental Centre,Currambine,WA,6028,862009060,893054938,http://www.dentistincurrambine.com.au,"['Dr Hetal Hirpara', 'Dr Rahul Pankhaniya', 'Dr Ravi Haria', 'Dr Somil Kharbanda', 'Dr Sanjana Mehta', 'Dr Akanksha Dalwadi']"
West Coast Dental Care,Unit 2 / 23 Bournemouth Crescent,Downs,WA,6019,892051855,Not Available,http://westcoastdentalcare.com.au,['Dr Paul Gorgolis']
Downs Dental Clinic,57 Hale Road,Downs,WA,6019,893417577,893414600,http://www.dentistperth.com,"['Dr John Moran', 'Dr Jessica Quach']"
Claremont Dental,322 Stirling Highway,Claremont,WA,6010,08 9383 1200,08 9383 1300,http://www.claremontdentalperth.com.au,"['Dr Daniel Abbondanza', 'Dr Jana Currall', 'Dr Dominic Etheridge', 'Dr Bayan Habibi']"
Paris Road Family Dental Practice,120 Paris Road,Australind,WA,6233,897258888,Not Available,http://www.fadc.com.au/paris-road-family-dental-practice,"['Dr Alan Lim', 'Dr Joan Fisher', 'Dr Matthew Tan']"
Secret Harbour Dental,Suite 7 / 10 Oasis Drive,Harbour,WA,6173,08 9523 4093,Not Available,http://www.shdental.com,"['Dr Helen Chen', 'Dr Alan Yeong']"
Airey Dental Family Practice,Unit 4 / 2 Antigua Street,Bay,WA,6169,895921863,895924927,http://www.aireydental.com.au/,['Dr Fleur Airey']
Sorrento Seacrest Dental Clinic,22 Harman Rd,Sorrento,WA,6020,892461899,892463077,http://www.dentistperth.com,"['Dr Tim Clair', 'Dr Jason La', 'Dr John Moran', 'Dr Jessica Quach']"
Hillarys Dental Care,33 Green Rd,Hillarys,WA,6025,893079981,893079150,http://www.hillarysdentalcare.com.au,"['Dr Ky Nguyen', 'Dr Parnian Zareie', 'Dr Jonathan Resnick', 'Dr Jason Courtney', 'Dr Mark Pardy', 'Dr Mitra Shabanian']"
Arca Dental,1 / 94 Delamere Ave,Currambine,WA,6028,893054254,Not Available,http://arcadental.com.au,"['Dr Kushal Kothari', 'Dr Anne Bolton']"
Sunlander Dental Centre,Sunlander Medical and Dental Centre,Currambine,WA,6028,862009060,893054938,http://www.dentistincurrambine.com.au,"['Dr Hetal Hirpara', 'Dr Rahul Pankhaniya', 'Dr Ravi Haria', 'Dr Somil Kharbanda', 'Dr Sanjana Mehta', 'Dr Akanksha Dalwadi']"
West Coast Dental Care,Unit 2 / 23 Bournemouth Crescent,Downs,WA,6019,892051855,Not Available,http://westcoastdentalcare.com.au,['Dr Paul Gorgolis']
Downs Dental Clinic,57 Hale Road,Downs,WA,6019,893417577,893414600,http://www.dentistperth.com,"['Dr John Moran', 'Dr Jessica Quach']"
Claremont Dental,322 Stirling Highway,Claremont,WA,6010,08 9383 1200,08 9383 1300,http://www.claremontdentalperth.com.au,"['Dr Daniel Abbondanza', 'Dr Jana Currall', 'Dr Dominic Etheridge', 'Dr Bayan Habibi']"
Paris Road Family Dental Practice,120 Paris Road,Australind,WA,6233,897258888,Not Available,http://www.fadc.com.au/paris-road-family-dental-practice,"['Dr Alan Lim', 'Dr Joan Fisher', 'Dr Matthew Tan']"
Secret Harbour Dental,Suite 7 / 10 Oasis Drive,Harbour,WA,6173,08 9523 4093,Not Available,http://www.shdental.com,"['Dr Helen Chen', 'Dr Alan Yeong']"
Airey Dental Family Practice,Unit 4 / 2 Antigua Street,Bay,WA,6169,895921863,895924927,http://www.aireydental.com.au/,['Dr Fleur Airey']
Sorrento Seacrest Dental Clinic,22 Harman Rd,Sorrento,WA,6020,892461899,892463077,http://www.dentistperth.com,"['Dr Tim Clair', 'Dr Jason La', 'Dr John Moran', 'Dr Jessica Quach']"
Hillarys Dental Care,33 Green Rd,Hillarys,WA,6025,893079981,893079150,http://www.hillarysdentalcare.com.au,"['Dr Ky Nguyen', 'Dr Parnian Zareie', 'Dr Jonathan Resnick', 'Dr Jason Courtney', 'Dr Mark Pardy', 'Dr Mitra Shabanian']"
Hastings Dental Centre,Scarborough Beach Medical Centre / 37 Scarborough Beach Rd,Scarborough,WA,6019,893411022,893418101,http://www.scarboroughbeachdentist.com.au,['Dr Colin Linforth']
Floreat Dental Surgery,24 Floreat Avenue,Floreat,WA,6014,893837711,Not Available,https://floreat-dental-surgery.business.site/,"['Dr Stefan Kolm', 'Dr Bhavnik Shah']"
Brighton Beach Dental,Unit 1 / 22 Hughie Edwards Drive,Merriwa,WA,6030,893051902,893051904,http://www.brightonbeachdental.com.au,"['Dr Richard Slattery', 'Dr Estelle Swart', 'Dr Carika Rossouw', 'Dr Stephanie Kong']"
Anchorage Dental Care,Unit 1 / 6 Rothesay Heights,Mindarie,WA,6030,08 9407 7888,08 9407 8055,http://www.AnchorageDental.com.au,"['Dr Frank Farhadi', 'Dr Michael Shams']"
South Street Dental Centre,South Street Dental / Fremantle Implants,O'Connor,WA,6163,893377388,Not Available,http://southstdental.com.au,"['Dr Michael Ang', 'Dr Henry Chan', 'Dr Te Saw']"
Marmion Dental Care,5 / 11 Sheppard Way,Marmion,WA,6020,894485577,894480551,http://www.marmiondentalcare.com.au,"['Dr Paul Chung', 'Dr Min Kyu Sung']"
Safety Bay Dental Care Centre,90 Parkin Street,Rockingham,WA,6168,895922077,895928078,http://www.safetybaydental.com.au,"['Dr Jeremy Lau', 'Dr Adrian Longworth', 'Dr Richard Grayson']"
DB Dental Spearwood,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Ailsa Malone', 'Dr Ashok Patel', 'Dr Cherrin Cheong', 'Dr Nancy Sehgal', 'Dr Greg Herbert', 'Dr Rob Grundy', 'Dr Sheema Pham', 'Dr Esther McCorry', 'Dr Mihajlo Kostadinovic']"
DB Dental Rockingham,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Sean Cunningham', 'Dr Alex Poli', 'Dr Claire Arkle', 'Dr Chris Tay', 'Dr Subha Karunanayaka', 'Dr Kiranbir Kaur']"
DB Dental North Fremantle,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Suhail Wardak', 'Dr Rob Grundy', 'Dr Chandi Shah', 'Dr Ailsa Malone', 'Dr Daniel Bontempo']"
Hastings Dental Centre,Scarborough Beach Medical Centre / 37 Scarborough Beach Rd,Scarborough,WA,6019,893411022,893418101,http://www.scarboroughbeachdentist.com.au,['Dr Colin Linforth']
Floreat Dental Surgery,24 Floreat Avenue,Floreat,WA,6014,893837711,Not Available,https://floreat-dental-surgery.business.site/,"['Dr Stefan Kolm', 'Dr Bhavnik Shah']"
Brighton Beach Dental,Unit 1 / 22 Hughie Edwards Drive,Merriwa,WA,6030,893051902,893051904,http://www.brightonbeachdental.com.au,"['Dr Richard Slattery', 'Dr Estelle Swart', 'Dr Carika Rossouw', 'Dr Stephanie Kong']"
Anchorage Dental Care,Unit 1 / 6 Rothesay Heights,Mindarie,WA,6030,08 9407 7888,08 9407 8055,http://www.AnchorageDental.com.au,"['Dr Frank Farhadi', 'Dr Michael Shams']"
South Street Dental Centre,South Street Dental / Fremantle Implants,O'Connor,WA,6163,893377388,Not Available,http://southstdental.com.au,"['Dr Michael Ang', 'Dr Henry Chan', 'Dr Te Saw']"
Marmion Dental Care,5 / 11 Sheppard Way,Marmion,WA,6020,894485577,894480551,http://www.marmiondentalcare.com.au,"['Dr Paul Chung', 'Dr Min Kyu Sung']"
Safety Bay Dental Care Centre,90 Parkin Street,Rockingham,WA,6168,895922077,895928078,http://www.safetybaydental.com.au,"['Dr Jeremy Lau', 'Dr Adrian Longworth', 'Dr Richard Grayson']"
DB Dental Spearwood,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Ailsa Malone', 'Dr Ashok Patel', 'Dr Cherrin Cheong', 'Dr Nancy Sehgal', 'Dr Greg Herbert', 'Dr Rob Grundy', 'Dr Sheema Pham', 'Dr Esther McCorry', 'Dr Mihajlo Kostadinovic']"
DB Dental Rockingham,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Sean Cunningham', 'Dr Alex Poli', 'Dr Claire Arkle', 'Dr Chris Tay', 'Dr Subha Karunanayaka', 'Dr Kiranbir Kaur']"
DB Dental North Fremantle,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Suhail Wardak', 'Dr Rob Grundy', 'Dr Chandi Shah', 'Dr Ailsa Malone', 'Dr Daniel Bontempo']"
DB Dental Melville,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Nilesh Jadav', 'Dr Nicholas Morton', 'Dr Susmita Pachipala', 'Dr Paul Haswell', 'Dr Alex Poli', 'Dr Jake Stanley']"
DB Dental Mandurah,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Marek Deptula', 'Dr Jason Law', 'Dr Steve Common', 'Dr Tom Peacock', 'Dr Kiranbir Kaur', 'Dr Subha Karunanayaka', 'Dr Greg Herbert', 'Dr Ananth Kadekodi', 'Dr Neeharika Boorada', 'Dr Adam Russell']"
DB Dental Joondalup,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Caroline Kowalski Cruden', 'Dr Sarah Chia', 'Dr Thao Truong', 'Dr Maki Kidokoro', 'Dr Billy Kim', 'Dr Jonathan Lee', 'Dr Hemesh Shelat', 'Dr Robert Tyrrell', 'Dr Gurpreet Virdee', 'Dr Suhail Wardak', 'Dr Kalen White']"
DB Dental Craigie,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Esther McCorry', 'Dr Jeremy Booth', 'Dr Roslind George', 'Dr Prashil Parekh', 'Dr Suhail Wardak', 'Dr John Graham']"
DB Dental Claremont,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Lisa Tong', 'Dr Rohit Chaturvedi', 'Dr Robert Tyrrell', 'Dr Daniel Bontempo', 'Dr Brendtha Nandakumar']"
