,Name,Old_price($),Current_price($),Shipping,Date_Scraped,Brand
35,Steve Madden  Mens Brown Leather Dress Lace Up Oxfords Shoes 9,100.0,52.99,Free Shipping,2019-12-30 10:50:21,Steve
36,Steve Madden  Mens Black Leather Lace Up Hiking Boots Shoes 9,110.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
37,Steve Madden  Mens Brown Leather Slip On Chelsea Boots Shoes 9.5,100.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
38,Steve Madden  Mens Black Leather Dress Slip On Loafers Shoes 8,90.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
39,Steve Madden  Mens Brown Leather Dress Slip On Loafers Shoes 10.5,85.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
40,Steve Madden  Mens Black Red Leather Dress Lace Up Oxfords Shoes 9.5,100.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
41,Steve Madden  Mens Black Suede Slip On Chelsea Boots Shoes 7.5,110.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
42,Steve Madden  Mens Brown Leather Dress Slip On Loafers Shoes 8,100.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
43,Steve Madden  Mens Brown Leather Zipper Casual Dress Boots Shoes 9,130.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
44,Steve Madden  Mens Blue Leather Lace Up Chukkas Boots Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
45,Adidas Swift Run Rawgre Grey Chapea Mens Athletic Training Shoes,0.0,77.78,$10.00 Shipping,2019-12-30 10:50:27,Adidas
46,Nike Air Huarache Run Ultra Habanero Red/White Men's Running Shoes 819685-606 Size 8,120.0,89.95,Free Shipping,2019-12-30 10:50:27,Nike
47,Puma Classic Metal Badge  Mens Black Low Top Sneakers Shoes 12,80.0,45.99,Free Shipping,2019-12-30 10:50:27,Puma
48,Steve Madden  Mens Brown Leather Lace Up Casual Dress Boots Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
49,Steve Madden  Mens Brown Leather Dress Lace Up Oxfords Shoes 11,110.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
50,Steve Madden  Mens Black Leather Lace Up Casual Dress Boots Shoes 11,150.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
51,Steve Madden  Mens Brown Suede Casual Lace Up Oxfords Shoes 9,90.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
52,Steve Madden  Mens Brown Leather Slip On Chelsea Boots Shoes 7,115.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
53,Steve Madden  Mens Brown Leather Casual Lace Up Oxfords Shoes 10.5,90.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
54,"MICHELIN XPX761 6"" Sledge ST Brown Boots Shoes Mens 9.5",0.0,163.28,$10.00 Shipping,2019-12-30 10:50:27,MICHELIN
55,Dockers Mens Proposal Leather Dress Loafer Shoe,80.0,59.99,Free Shipping,2019-12-30 10:50:27,Dockers
56,Dockers Mens Trustee Leather Dress Casual Oxford Shoe,80.0,59.99,Free Shipping,2019-12-30 10:50:27,Dockers
57,Dockers Mens Overton Leather Rugged Casual Oxford Shoe with NeverWet,90.0,44.98,Free Shipping,2019-12-30 10:50:27,Dockers
58,Minnetonka Cally Women US 8 Tan Moccasin Slippers Shoes,0.0,46.61,$10.00 Shipping,2019-12-30 10:50:27,Minnetonka
59,Minnetonka 1632 Womens Size 9 Brown Moc Suede Moccasins Shoes New/Display,0.0,111.06,$10.00 Shipping,2019-12-30 10:50:27,Minnetonka
60,Fila Mb  Mens Red High Top Athletic Gym Basketball Shoes 10.5,0.0,124.43,$10.00 Shipping,2019-12-30 10:50:27,Fila
61,Fila Spaghetti  Mens Black Suede Casual High Top Sneakers Shoes 8,0.0,113.22,$10.00 Shipping,2019-12-30 10:50:27,Fila
62,Clarks Stratton Way Plain Toe Black Leather Mens Casual Shoes 26102520 Size 8.5W,125.0,49.95,Free Shipping,2019-12-30 10:50:27,Clarks
63,SoftScience Light Walker Black Women's Lace Up Shoes WC0012 Size 9,70.0,29.95,Free Shipping,2019-12-30 10:50:27,SoftScience
64,Steve Madden  Mens Brown Suede Slip On Chelsea Boots Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
65,Steve Madden  Mens Black Leather Dress Lace Up Oxfords Shoes 9,120.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
66,Steve Madden  Mens Black Patent Leather Casual Fashion Sneakers Shoes 11,110.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
67,Steve Madden  Mens Black Leather Dress Slip On Loafers Shoes 7.5,80.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
68,Steve Madden  Mens Black Leather Lace Up Casual Dress Boots Shoes 9.5,100.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
69,Steve Madden  Mens Black Leather Casual Lace Up Oxfords Shoes 11,80.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
70,Steve Madden  Mens Brown Leather Lace Up Casual Dress Boots Shoes 10,150.0,52.99,Free Shipping,2019-12-30 10:50:27,Steve
71,Diadora N9000 Spark  Mens White Suede Mesh Low Top Sneakers Shoes 9,120.0,62.99,Free Shipping,2019-12-30 10:50:27,Diadora
72,Steve Madden  Mens Beige Suede Slip On Chelsea Boots Shoes 11,110.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
73,Steve Madden  Mens Brown Leather Casual Slip On Loafers Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
74,Steve Madden  Mens Brown Leather Zipper Casual Dress Boots Shoes 8.5,100.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
75,Steve Madden  Mens Brown Leather Zipper Chelsea Boots Shoes 9,130.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
76,Steve Madden  Mens Brown Leather Casual Slip On Loafers Shoes 10,120.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
77,Steve Madden  Mens Black Leather Zipper Chelsea Boots Shoes 10.5,130.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
78,Steve Madden  Mens Gray Suede Casual Slip On Loafers Shoes 9,110.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
79,Steve Madden  Mens Black Leather Dress Lace Up Oxfords Shoes 9,130.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
80,Steve Madden  Mens Black Leather Dress Slip On Loafers Shoes 11,110.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
81,Steve Madden  Mens Brown Leather Dress Lace Up Oxfords Shoes 11,95.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
82,Steve Madden  Mens Black Leather Zipper Casual Dress Boots Shoes 11.5,105.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
83,Steve Madden  Mens Black Leather Dress Slip On Loafers Shoes 9,80.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
84,Steve Madden  Mens Brown Leather Lace Up Chukkas Boots Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
85,Steve Madden  Mens Brown Leather Casual Slip On Loafers Shoes 10.5,100.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
86,Steve Madden  Mens Brown Leather Slip On Chelsea Boots Shoes 10.5,110.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
87,Steve Madden  Mens Black Leather Zipper Casual Dress Boots Shoes 10.5,130.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
88,Steve Madden  Mens Brown Leather Casual Slip On Loafers Shoes 10.5,85.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
89,Steve Madden  Mens Black Leather Slip On Chelsea Boots Shoes 9.5,120.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
90,Steve Madden  Mens Black Leather Dress Lace Up Oxfords Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
91,Steve Madden  Mens Black Suede Slip On Chelsea Boots Shoes 11,110.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
92,Steve Madden  Mens Brown Leather Dress Slip On Loafers Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
93,Steve Madden  Mens White Leather Lace Up High Top Sneakers Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
94,Steve Madden  Mens Brown Leather Casual Slip On Loafers Shoes 8.5,120.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
95,Steve Madden  Mens Blue Leather Dress Slip On Loafers Shoes 11.5,80.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
96,Steve Madden  Mens Gray Suede Slip On Chelsea Boots Shoes 10.5,125.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
97,Steve Madden  Mens Black Leather Dress Slip On Loafers Shoes 10,120.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
98,Steve Madden  Mens Brown Leather Dress Slip On Loafers Shoes 10,80.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
99,Steve Madden  Mens Black Leather Dress Lace Up Oxfords Shoes 10,85.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
100,Steve Madden  Mens Brown Leather Zipper Casual Dress Boots Shoes 10,130.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
101,Steve Madden  Mens Brown Leather Slip On Chelsea Boots Shoes 8.5,100.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
102,Steve Madden  Mens Gray Leather Dress Lace Up Oxfords Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
103,Steve Madden  Mens Brown Leather Zipper Casual Dress Boots Shoes 10,110.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
104,Steve Madden  Mens Brown Leather Dress Lace Up Oxfords Shoes 11,110.0,52.99,Free Shipping,2019-12-30 10:50:31,Steve
105,Nike Air Jordan Flight 45 Black/Dark Grey-White 364759-015 Toddler Size 2C,0.0,45.0,Free Shipping,2019-12-30 10:50:31,Nike
106,Nike Air Jordan 3 Retro Black/Atomic Red-Cement Grey-Volt 832033-039 Toddler Size 3.5C,0.0,55.0,Free Shipping,2019-12-30 10:50:31,Nike
107,KENZO MEN'S F955ES188F7001 WHITE COTTON ESPADRILLES,218.0,164.0,Free Shipping,2019-12-30 10:50:31,KENZO
108,"XOXO Barron Open Toe Western Booties, Black, 6 US / 36 EU",59.99,39.99,Special Shipping,2019-12-30 10:50:36,XOXO
109,TOD'S MEN'S XXM0EO0S290D9CU826 BLUE LEATHER LOAFERS,0.0,470.0,Free Shipping,2019-12-30 10:50:36,TOD'S
110,TOD'S MEN'S XXM08A0S480BYEC606 BEIGE LEATHER SNEAKERS,0.0,380.0,Free Shipping,2019-12-30 10:50:36,TOD'S
111,Bogs Classic Mid Handles Women US 7 Black Rain Boot EU 38,116.0,114.95,Free Shipping,2019-12-30 10:50:36,Bogs
112,TORY BURCH WOMEN'S 50736002 BLACK LEATHER FLATS,0.0,287.0,Free Shipping,2019-12-30 10:50:36,TORY
113,Nike Air Huarache Obsidian/Mars Stone-Black Men's Running Shoes 318429-417 Size 9,110.0,69.95,Free Shipping,2019-12-30 10:50:36,Nike
114,Nike Air Jordan 11 Retro Win Like 96 Red/Wht Men's Basketball Shoes 378037-623 Size 8,0.0,349.95,Free Shipping,2019-12-30 10:50:36,Nike
115,Puma Palace Guard Mid Moto X Mens Black Synthetic High Top Sneakers Shoes 10,100.0,51.99,Free Shipping,2019-12-30 10:50:36,Puma
116,Steve Madden  Mens Brown Leather Zipper Casual Dress Boots Shoes 9,110.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
117,Steve Madden  Mens Black Leather Casual Lace Up Oxfords Shoes 11,80.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
118,Steve Madden  Mens Brown Leather Dress Lace Up Oxfords Shoes 11,120.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
119,Steve Madden  Mens Brown Leather Casual Slip On Loafers Shoes 9.5,120.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
120,Steve Madden  Mens Blue Mesh Lace Up Low Top Sneakers Shoes 7,90.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
121,Steve Madden  Mens Brown Leather Lace Up Chukkas Boots Shoes 8.5,80.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
122,Steve Madden  Mens Brown Leather Casual Slip On Loafers Shoes 8,100.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
123,Steve Madden  Mens Brown Leather Slip On Casual Dress Boots Shoes 9.5,160.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
124,Steve Madden  Mens Black Leather Casual Lace Up Oxfords Shoes 10,80.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
125,Steve Madden  Mens Black Leather Zipper Casual Dress Boots Shoes 9.5,105.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
126,Steve Madden  Mens Brown Leather Lace Up Casual Dress Boots Shoes 10.5,160.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
127,Steve Madden  Mens Gray Suede Casual Lace Up Oxfords Shoes 9,100.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
128,Steve Madden  Mens Brown Leather Casual Lace Up Oxfords Shoes 10.5,90.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
129,Steve Madden  Mens Brown Leather Casual Slip On Loafers Shoes 7.5,90.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
130,Steve Madden  Mens Black Leather Casual Lace Up Oxfords Shoes 11,85.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
131,Steve Madden  Mens Brown Leather Zipper Casual Dress Boots Shoes 11,100.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
132,Steve Madden  Mens White Leather Lace Up High Top Sneakers Shoes 10.5,90.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
133,Steve Madden  Mens Black Leather Dress Slip On Loafers Shoes 11,80.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
134,Steve Madden  Mens Brown Leather Dress Slip On Loafers Shoes 8.5,105.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
135,Steve Madden  Mens Brown Leather Dress Slip On Loafers Shoes 9.5,80.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
136,Steve Madden  Mens Brown Leather Lace Up Chukkas Boots Shoes 10.5,100.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
137,Steve Madden  Mens Blue Suede Casual Lace Up Oxfords Shoes 7,100.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
138,Steve Madden  Mens Black Suede Slip On Chelsea Boots Shoes 10.5,130.0,62.99,Free Shipping,2019-12-30 10:50:36,Steve
139,Steve Madden  Mens Brown Nubuck Casual Lace Up Oxfords Shoes 8.5,90.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
140,Steve Madden  Mens Black Leather Strap Motorcycle Boots Shoes 8.5,190.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
141,Steve Madden  Mens Brown Leather Dress Lace Up Oxfords Shoes 11,100.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
142,Steve Madden  Mens Black Leather Casual Slip On Loafers Shoes 10.5,100.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
143,Steve Madden  Mens Brown Leather Casual Lace Up Oxfords Shoes 10,80.0,52.99,Free Shipping,2019-12-30 10:50:36,Steve
144,Steve Madden  Mens Black Leather Lace Up Chukkas Boots Shoes 8.5,115.0,48.99,Free Shipping,2019-12-30 10:50:40,Steve
145,Steve Madden  Mens Brown Leather Dress Lace Up Oxfords Shoes 11,120.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
146,Steve Madden  Mens Blue Suede Chukkas Lace Up Boots Shoes 11,105.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
147,Steve Madden  Mens Brown Leather Dress Slip On Loafers Shoes 10,80.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
148,Steve Madden  Mens Gray Suede Slip On Chelsea Boots Shoes 11,110.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
149,Steve Madden  Mens Tan Brown Leather Slip On Chelsea Boots Shoes 11,100.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
150,Steve Madden  Mens Brown Leather Casual Lace Up Oxfords Shoes 9,80.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
151,Steve Madden  Mens Black Leather Lace Up Casual Dress Boots Shoes 10,170.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
152,Steve Madden  Mens Black Leather Slip On Chelsea Boots Shoes 10,100.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
153,Steve Madden  Mens Brown Suede Zipper Casual Dress Boots Shoes 10.5,100.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
154,Steve Madden  Mens Brown Leather Casual Slip On Loafers Shoes 11,80.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
155,Steve Madden  Mens Brown Suede Lace Up Casual Dress Boots Shoes 9,100.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
156,Steve Madden  Mens Black Leather Dress Slip On Loafers Shoes 9,110.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
157,Steve Madden  Mens Black Leather Lace Up Casual Dress Boots Shoes 11,150.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
158,Steve Madden  Mens Black Leather Dress Slip On Loafers Shoes 10.5,100.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
159,Steve Madden  Mens Black Leather Casual Slip On Loafers Shoes 10.5,110.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
160,Steve Madden  Mens Brown Leather Dress Slip On Loafers Shoes 11,120.0,52.99,Free Shipping,2019-12-30 10:50:40,Steve
161,Easy Spirit Romy Womens Size 9 White Wide Leather Toning Shoes New/Display,0.0,47.16,$10.00 Shipping,2019-12-30 10:50:40,Easy
162,Reebok Answer Iv.V Black Coal White Mens Athletic Basketball Shoes,0.0,102.17,$10.00 Shipping,2019-12-30 10:50:40,Reebok
163,Teva Mush Mandalyn Wedge Womens Size 9 Black Textile Flip Flops Sandals Shoes,0.0,34.94,$10.00 Shipping,2019-12-30 10:50:40,Teva
164,Nike Force 1 Black 307119-001 Toddler Size 3C,0.0,34.0,Free Shipping,2019-12-30 10:50:40,Nike
165,Nike Little Ace '83 White 302402-111 Toddler Size 2C,0.0,40.0,Free Shipping,2019-12-30 10:50:40,Nike
166,Nike Little Diamond Turft 2 Black 309637-001 Toddler Size 4C,0.0,40.0,Free Shipping,2019-12-30 10:50:40,Nike
167,Nike Force 1 White 307119-112 Toddler Size 2.5C,0.0,34.0,Free Shipping,2019-12-30 10:50:40,Nike
168,Nike Force 1 White/Varsity Red 314194-911 Toddler Size 2.5C,0.0,37.0,Free Shipping,2019-12-30 10:50:40,Nike
169,Nike Force 1 Mid White/Silver 307192-102 Toddler Size 2.5C,0.0,34.0,Free Shipping,2019-12-30 10:50:40,Nike
170,Nike Force 1 Hay/White-Pine Green 314194-212 Toddler Size 2.5C,0.0,36.0,Free Shipping,2019-12-30 10:50:40,Nike
171,Nike AJF 4 Black/Varsity Red-Stealth 414592-001 Toddler Size 3C,0.0,47.0,Free Shipping,2019-12-30 10:50:40,Nike
172,Nike Force 1 White/Black-Neutral Grey 307119-103 Toddler Size 2C,0.0,40.0,Free Shipping,2019-12-30 10:50:40,Nike
173,Nike Baby Classic BW Leather White/University Blue 609069-143 Toddler Size 2C,0.0,34.0,Free Shipping,2019-12-30 10:50:40,Nike
174,Nike Force 1 Black/White-Old Royal 314194-041 Toddler Size 2C,0.0,36.0,Free Shipping,2019-12-30 10:50:40,Nike
175,New Balance Hook And Loop 690 V4 Black/Pink KV690PBI Toddler Size 8C,0.0,45.0,Free Shipping,2019-12-30 10:50:40,New
176,Nike Force 1 White/Pine Green 314194-996 Toddler Size 3C,0.0,36.0,Free Shipping,2019-12-30 10:50:40,Nike
177,Nike Force 1 Black/Gum Light Brown 596730-046 Toddler Size 2C,0.0,45.0,Free Shipping,2019-12-30 10:50:40,Nike
178,Nike Little Shox Limitless Black/Metallic Silver 304817-001 Toddler Size 2C,0.0,38.0,Free Shipping,2019-12-30 10:50:40,Nike
179,Nike Air Jordan Retro V.1 Storm Pink/Spark-White 487297-607 Toddler Size 4C,0.0,40.0,Free Shipping,2019-12-30 10:50:40,Nike
180,Nike Force 1 Sail/Pinkfire II-Black 314221-164 Toddler Size 2.5C,0.0,36.0,Free Shipping,2019-12-30 10:50:46,Nike
181,Nike Little Shox Supremacy White/Black-Metallic Silver 305682-102 Toddler Size 2C,0.0,30.0,Free Shipping,2019-12-30 10:50:46,Nike
182,Alpine Swiss Sabine Womens Suede Shearling Moccasin Slippers House Shoes Slip On,38.0,19.99,Free Shipping,2019-12-30 10:50:46,Alpine
183,Converse Chuck Taylor All Star Ox Women US 6 Black Sneakers,0.0,33.0,Free Shipping,2019-12-30 10:50:46,Converse
184,TORY BURCH WOMEN'S 49350927 PINK LEATHER FLATS,0.0,277.0,Free Shipping,2019-12-30 10:50:46,TORY
185,New Balance 775 Pink KJ775PSY Grade-School Size 7Y,0.0,60.0,Free Shipping,2019-12-30 10:50:46,New
186,Adidas Swift Run J Pink/Black EE7021 Grade-School Size 7Y,0.0,65.0,Free Shipping,2019-12-30 10:50:46,Adidas
187,New Balance 680 V3 White KA680FBY Grade-School Size 7Y Wide,0.0,50.0,Free Shipping,2019-12-30 10:50:46,New
188,New Balance 574 Red KL574YIG Grade-School Size 5.5Y Wide,0.0,65.0,Free Shipping,2019-12-30 10:50:46,New
189,New Balance 990v4 Sneaker Gold/White KJ9902KP Pre-School Size 12Y,0.0,80.0,Free Shipping,2019-12-30 10:50:46,New
190,New Balance 200 Purple/Green KJ200CGG Grade-School Size 6Y Wide,0.0,65.0,Free Shipping,2019-12-30 10:50:46,New
191,New Balance 574 Grey/Tan KL574VEP Pre-School Size 12.5Y,0.0,55.0,Free Shipping,2019-12-30 10:50:46,New
192,Nike Air Jordan Prime Flight Black/Infrared 23 616861-023 Grade-School Size 5.5Y,0.0,95.0,Free Shipping,2019-12-30 10:50:46,Nike
193,Adidas Harden B/E 3 J White/Black-Grey EF3599 Grade-School Size 6Y,0.0,80.0,Free Shipping,2019-12-30 10:50:46,Adidas
194,Nike Air Jordan Hydro 2 Black/Vivid Pink 429531-002 Pre-School Size 13Y,0.0,50.0,Free Shipping,2019-12-30 10:50:46,Nike
195,Nike Vunk Black/Varsity Red-White 375795-062 Grade-School Size 6Y,0.0,62.0,Free Shipping,2019-12-30 10:50:46,Nike
196,Nike Force 1 Mid White 624050-117 Pre-School Size 10.5Y,0.0,36.0,Free Shipping,2019-12-30 10:50:46,Nike
